
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
988,Steel Phoenix,2,3.10,-0.14,-0.27,-0.27,-0.00,0.00,-0.16,-0.00,-1.00,-1.00,-0.05,3.68,-0.54,-0.98,-0.32,0.31,0.22,-0.01,-0.01,19.01,0.41,-1.00,-1.00,31.49,0.02,0.02,0.02,8.93,-1.00,-1.00,-1.00,-0.01,-0.01,0.20,-0.03,0.23,-0.05,6.23,-0.78,23.86,0.57,0.49,-1.00,-1.00,-0.37,41.73,41.67,0.07,-17.67,1404,,,,,
1138,Eagle Engineering,3,-0.49,-0.01,-0.46,-0.46,0.06,0.00,3.84,0.06,-1.00,-1.00,1.28,2.90,-0.29,0.39,0.10,0.33,0.33,0.03,-0.02,24.41,0.59,-1.00,-1.00,38.62,-0.12,0.21,0.19,14.10,0.36,-1.00,-1.00,0.00,-0.02,0.15,0.28,0.40,0.81,10.71,21.56,28.26,0.67,0.66,-1.00,-1.00,-0.35,63.07,61.12,0.11,-13.91,1445,,,,,
1266,The Devil Duckies,3,6.27,-0.26,-0.23,-0.31,0.18,0.00,10.58,0.18,-1.00,-1.00,3.53,16.54,-4.14,-1.20,-0.79,0.33,0.21,-0.02,0.00,13.90,0.30,-1.00,-1.00,22.18,-0.08,0.04,0.23,9.07,0.13,-1.00,-1.00,0.00,0.00,-0.10,0.67,0.62,0.27,14.97,10.02,24.48,0.52,0.47,-1.00,-1.00,-1.10,48.73,48.73,0.09,5.51,1438,,,,,
1538,The Holy Cows,3,3.43,-0.03,0.80,0.79,0.70,0.00,41.80,0.70,-1.00,-1.00,13.93,46.02,-0.09,2.25,0.71,0.33,0.39,0.66,0.00,27.22,2.70,-1.00,-1.00,75.13,0.45,0.12,0.37,47.21,0.64,-1.00,-1.00,0.00,0.00,0.17,-0.03,0.27,0.28,7.60,6.77,69.01,1.38,3.40,-1.00,-1.00,1.50,127.93,127.93,0.57,59.39,1619,,,,,
1678,Citrus Circuits,3,4.60,-0.47,23.14,23.02,0.10,0.00,5.79,0.10,-1.00,-1.00,1.93,33.42,-0.21,67.61,22.09,0.33,0.29,0.48,0.00,40.45,2.40,-1.00,-1.00,108.78,0.33,0.27,0.33,46.24,0.87,-1.00,-1.00,0.91,0.00,-0.19,0.05,-0.16,-0.11,-5.04,-2.57,46.25,1.11,2.50,-1.00,-1.00,45.11,139.63,157.82,0.51,71.84,1785,,,,,
1828,BoxerBots,3,2.55,0.00,-0.79,-0.79,0.02,0.00,1.36,0.02,-1.00,-1.00,0.45,3.12,0.11,-1.12,-0.38,0.33,0.27,-0.21,0.00,14.86,-0.32,-1.00,-1.00,41.92,0.28,0.36,-0.09,27.43,0.27,-1.00,-1.00,0.00,0.00,-0.29,0.04,-0.25,-0.24,-7.76,-5.74,16.23,0.39,-0.29,-1.00,-1.00,-1.17,39.30,39.30,0.11,-21.97,1407,,,,,
2144,Gators,3,4.45,0.04,0.45,0.48,0.28,0.00,17.09,0.28,-1.00,-1.00,5.70,22.02,6.94,0.16,0.72,0.33,0.52,0.13,0.00,27.88,1.25,-1.00,-1.00,88.62,0.02,0.50,0.68,60.02,0.54,-1.00,-1.00,0.00,0.00,-0.05,0.00,0.46,-0.07,11.24,-1.74,44.97,0.98,1.54,-1.00,-1.00,1.20,108.89,108.89,0.32,49.60,1518,,,,,
2429,La Canada Engineerng Cub,3,4.13,0.01,0.15,0.15,0.50,0.00,29.98,0.50,-1.00,-1.00,9.99,34.26,0.05,2.64,0.84,0.33,0.47,-0.21,-0.01,3.30,-0.45,-1.00,-1.00,39.62,0.00,0.33,0.38,35.48,0.64,-1.00,-1.00,0.00,-0.01,0.05,-0.23,-0.06,-0.07,-1.22,-2.77,33.29,0.58,0.05,-1.00,-1.00,0.99,71.11,70.48,0.18,7.82,1414,,,,,
2485,WARLords,3,4.69,-0.15,1.10,1.05,0.42,0.00,25.15,0.42,-1.00,-1.00,8.38,30.89,-13.88,2.63,-1.04,0.33,0.21,0.20,0.00,13.06,0.83,-1.00,-1.00,32.50,0.02,0.35,0.03,20.47,0.46,-1.00,-1.00,0.00,0.00,0.02,-0.12,-0.08,0.01,-1.90,-0.31,38.21,0.75,1.25,-1.00,-1.00,0.02,63.08,63.08,0.05,-10.59,1521,,,,,
2637,Phantom Catz,3,5.11,-0.05,1.12,1.10,-0.07,0.00,-3.99,-0.07,-1.00,-1.00,-1.33,2.22,0.44,-0.78,-0.26,0.33,0.33,0.34,0.10,46.68,2.67,-1.00,-1.00,86.06,0.12,0.35,0.32,39.64,0.82,-1.00,-1.00,-0.01,0.10,0.06,0.11,0.31,0.41,8.08,10.71,42.69,1.10,2.60,-1.00,-1.00,0.84,98.99,108.43,0.17,40.03,1599,,,,,
3009,High Scalers,3,-0.13,-0.01,0.27,0.27,0.28,0.00,16.53,0.28,-1.00,-1.00,5.51,16.67,0.57,2.33,0.81,0.33,0.30,0.09,0.00,17.94,0.69,-1.00,-1.00,40.26,0.12,0.23,0.08,21.51,0.73,-1.00,-1.00,0.00,0.00,0.64,-0.06,0.22,-0.12,8.75,-3.28,34.47,0.72,0.97,-1.00,-1.00,1.08,53.65,53.65,0.21,-13.92,1445,,,,,
3011,RoboWarriors,3,5.05,1.06,-1.05,-0.69,0.25,0.00,14.95,0.25,-1.00,-1.00,4.98,19.31,12.73,-1.33,1.00,0.33,0.44,0.04,0.00,22.72,0.78,-1.00,-1.00,48.10,0.21,0.53,-0.25,24.38,0.64,-1.00,-1.00,0.00,0.00,-0.01,-0.00,-0.22,0.58,-5.43,14.55,37.67,0.82,1.02,-1.00,-1.00,0.31,81.95,81.95,0.18,29.65,1523,,,,,
3045,The Gear Gremlins,3,2.90,0.00,0.15,0.15,0.08,0.00,4.87,0.08,-1.00,-1.00,1.62,7.92,0.54,-6.87,-2.21,0.33,0.23,-0.16,0.00,13.07,-0.25,-1.00,-1.00,35.01,0.21,0.07,0.20,24.15,0.44,-1.00,-1.00,-0.03,0.00,0.10,0.28,-0.01,0.27,0.17,8.25,17.95,0.41,-0.17,-1.00,-1.00,-2.06,51.18,50.54,0.26,10.21,1456,,,,,
3495,MindCraft,3,2.37,0.00,0.24,0.24,-0.27,0.00,-16.01,-0.27,-1.00,-1.00,-5.34,-13.40,0.05,0.60,0.13,0.33,0.42,-0.17,0.00,33.78,0.42,-1.00,-1.00,43.12,-0.12,-0.06,0.37,9.21,0.11,-1.00,-1.00,-0.01,0.00,0.05,-0.14,0.30,0.07,7.75,1.19,17.77,0.58,0.15,-1.00,-1.00,0.37,30.91,30.77,-0.04,-37.14,1471,,,,,
3647,Millennium Falcons,3,3.59,-0.09,0.20,0.18,0.07,0.00,4.26,0.07,-1.00,-1.00,1.42,8.03,2.48,-0.06,0.20,0.33,0.45,0.51,0.00,48.67,2.84,-1.00,-1.00,93.77,0.11,0.64,0.15,44.90,0.73,-1.00,-1.00,0.00,0.00,0.92,-0.09,-0.03,-0.06,3.88,-1.87,52.93,1.29,2.92,-1.00,-1.00,0.38,99.93,99.93,0.58,75.21,1559,,,,,
3965,Sultans,3,5.10,-0.01,0.22,0.22,0.05,0.00,2.87,0.05,-1.00,-1.00,0.96,8.20,0.30,-0.69,-0.21,0.33,0.42,0.13,-0.01,33.18,1.27,-1.00,-1.00,34.07,-0.06,-0.02,0.10,1.10,0.27,-1.00,-1.00,0.00,-0.01,0.14,0.07,0.15,0.50,4.53,12.90,36.05,0.88,1.32,-1.00,-1.00,0.01,55.16,54.56,0.11,-17.09,1441,,,,,
4160,The RoBucs,3,3.58,-0.02,0.38,0.36,0.18,0.00,11.04,0.18,-1.00,-1.00,3.68,14.98,-1.84,-0.65,-0.40,0.33,0.27,-0.22,0.00,8.08,-0.41,-1.00,-1.00,31.03,0.19,0.09,0.19,23.34,0.13,-1.00,-1.00,0.00,0.00,-0.11,0.18,0.12,-0.26,2.52,-5.72,19.12,0.39,-0.23,-1.00,-1.00,-0.04,40.29,40.29,0.03,-26.67,1414,,,,,
4201,Vitruvian Bots,3,5.36,0.00,2.80,2.81,0.32,0.00,19.16,0.32,-1.00,-1.00,6.39,27.32,-0.91,-0.83,-0.48,0.33,0.27,-0.11,-0.01,6.54,-0.28,-1.00,-1.00,33.62,0.01,0.46,0.08,27.56,0.33,-1.00,-1.00,0.02,-0.01,0.00,0.12,0.24,0.02,6.11,1.04,25.70,0.48,0.03,-1.00,-1.00,2.33,61.99,61.27,0.43,30.77,1548,,,,,
4470,TiGears,3,3.54,0.68,0.03,0.26,0.12,0.00,7.16,0.12,-1.00,-1.00,2.39,10.96,2.81,0.39,0.25,0.33,0.37,0.42,-0.04,38.56,2.06,-1.00,-1.00,58.38,0.47,-0.03,-0.05,19.57,0.44,-1.00,-1.00,-0.01,-0.04,0.00,0.00,-0.04,-0.16,-1.05,-4.05,45.72,1.08,2.18,-1.00,-1.00,0.51,65.29,61.35,0.11,-8.78,1429,,,,,
4499,The Highlanders,3,5.95,0.24,0.08,0.15,0.54,0.00,32.41,0.54,-1.00,-1.00,10.80,38.50,0.54,2.45,0.93,0.33,0.35,0.52,-0.01,26.29,2.19,-1.00,-1.00,70.89,0.33,0.32,0.23,43.67,0.93,-1.00,-1.00,0.02,-0.01,-0.01,-0.12,0.25,0.40,6.07,9.46,58.70,1.20,2.73,-1.00,-1.00,1.08,118.85,117.84,0.24,49.36,1581,,,,,
4501,Humans,3,3.35,0.26,0.41,0.50,-0.08,0.00,-4.81,-0.08,-1.00,-1.00,-1.60,-0.97,-0.71,3.97,1.21,0.33,0.34,0.08,-0.00,33.34,1.08,-1.00,-1.00,60.59,0.20,0.20,0.12,26.04,0.33,-1.00,-1.00,0.10,-0.00,0.16,0.02,0.27,0.22,7.45,5.69,28.53,0.75,1.00,-1.00,-1.00,1.70,65.30,67.25,0.32,-4.19,1432,,,,,
4792,Desert Storm,3,4.32,-0.34,-0.03,-0.14,-0.03,0.00,-1.56,-0.03,-1.00,-1.00,-0.52,2.63,3.26,0.82,0.65,0.33,0.42,0.17,0.01,38.24,1.56,-1.00,-1.00,62.87,0.23,0.13,0.12,23.98,0.64,-1.00,-1.00,-0.00,0.01,0.16,-0.04,-0.09,0.03,-1.41,0.68,36.68,0.93,1.54,-1.00,-1.00,0.51,66.18,66.82,0.32,16.28,1404,,,,,
5012,Gryffingear,3,3.90,-0.28,-0.40,-0.49,0.31,0.00,18.82,0.31,-1.00,-1.00,6.27,22.23,-0.22,5.27,1.72,0.33,0.38,0.45,0.00,34.23,2.25,-1.00,-1.00,86.74,0.28,0.35,0.39,50.79,0.86,-1.00,-1.00,0.01,0.00,0.08,0.06,0.07,-0.16,2.05,-3.75,53.05,1.17,2.56,-1.00,-1.00,1.22,105.21,105.41,0.34,39.48,1498,,,,,
5025,ENIGMA,3,4.57,0.00,2.78,2.78,-0.22,0.00,-13.40,-0.22,-1.00,-1.00,-4.47,-6.05,-0.83,1.30,0.21,0.33,0.08,0.07,0.00,28.12,0.63,-1.00,-1.00,66.67,0.35,0.37,0.04,38.34,0.63,-1.00,-1.00,0.00,0.00,0.13,0.12,-0.17,0.16,-3.49,4.69,14.72,0.48,0.41,-1.00,-1.00,2.99,65.30,65.30,0.11,-14.23,1449,,,,,
5049,Techtonics,2,3.89,0.04,0.17,0.17,0.09,0.00,5.30,0.09,-1.00,-1.00,1.77,9.35,0.35,1.10,0.36,0.33,0.29,0.08,0.00,24.62,0.83,-1.00,-1.00,43.05,0.12,0.12,0.12,18.12,-1.00,-1.00,-1.00,0.00,0.00,0.08,0.09,0.09,0.09,2.66,2.78,29.84,0.70,0.91,-1.00,-1.00,0.53,55.05,55.17,0.17,0.31,1401,,,,,
5089,Robo-Nerds,3,4.27,-0.03,0.35,0.34,-0.16,0.00,-9.67,-0.16,-1.00,-1.00,-3.22,-5.06,-0.98,-1.42,-0.54,0.33,0.40,0.30,-0.03,46.83,2.00,-1.00,-1.00,79.15,0.28,0.11,0.26,32.85,0.67,-1.00,-1.00,0.01,-0.03,-0.22,0.45,0.23,0.03,4.75,3.11,37.16,1.01,1.84,-1.00,-1.00,-0.20,77.21,74.72,0.17,2.51,1488,,,,,
5199,Robot Dolphins From Outer Space,3,5.05,-0.43,0.76,0.62,0.30,0.00,18.26,0.30,-1.00,-1.00,6.09,23.93,-5.72,1.86,0.07,0.33,0.36,0.66,0.00,41.93,3.06,-1.00,-1.00,55.77,0.47,-0.36,0.16,13.77,0.53,-1.00,-1.00,0.00,0.00,0.11,0.27,0.42,0.21,11.15,6.58,60.19,1.35,3.37,-1.00,-1.00,0.69,86.29,86.29,0.21,8.14,1549,,,,,
5429,Black Knights,3,4.49,0.12,0.12,0.16,-0.18,0.00,-10.54,-0.18,-1.00,-1.00,-3.51,-5.89,1.45,0.69,0.34,0.33,0.29,0.10,0.00,36.05,1.11,-1.00,-1.00,55.03,0.17,0.46,-0.26,18.64,0.50,-1.00,-1.00,0.00,0.00,-0.17,0.02,0.14,-0.23,2.71,-5.56,25.51,0.73,0.93,-1.00,-1.00,0.50,43.58,43.58,0.26,-12.96,1454,,,,,
5453,RED COMET,3,4.51,0.01,0.08,0.08,0.14,0.00,8.28,0.14,-1.00,-1.00,2.76,12.87,0.01,-0.38,-0.06,0.33,0.40,0.24,0.00,33.77,1.66,-1.00,-1.00,57.23,0.05,0.26,0.17,23.52,0.67,-1.00,-1.00,-0.00,0.00,0.16,0.11,-0.03,-0.09,0.13,-1.63,42.05,0.98,1.80,-1.00,-1.00,0.02,68.47,68.40,0.24,25.84,1409,,,,,
5458,Digital Minds,3,3.53,0.50,0.37,0.50,-0.04,0.00,-2.56,-0.04,-1.00,-1.00,-0.85,1.47,0.01,5.42,1.78,0.33,0.38,0.43,0.00,47.73,2.54,-1.00,-1.00,110.71,0.35,0.27,0.60,61.21,0.73,-1.00,-1.00,-0.00,0.00,-0.01,-0.27,-0.12,0.36,-3.08,7.69,45.17,1.15,2.49,-1.00,-1.00,2.28,119.88,119.85,0.40,47.69,1479,,,,,
5677,The Subatomic Smarticles,3,3.63,-0.64,-0.45,-0.64,0.13,0.00,7.88,0.13,-1.00,-1.00,2.63,10.87,0.10,-0.09,-0.02,0.34,0.33,0.18,-0.04,27.65,1.05,-1.00,-1.00,59.75,0.22,0.18,0.24,32.12,0.69,-1.00,-1.00,-0.02,-0.04,0.36,0.31,0.47,0.03,13.65,2.29,35.53,0.82,1.18,-1.00,-1.00,-0.66,72.91,68.78,0.46,65.49,1558,,,,,
5823,Shenzhen   Futian School  United,3,5.57,-0.03,0.51,0.51,0.18,0.00,11.01,0.18,-1.00,-1.00,3.67,17.10,-0.01,4.35,1.52,0.33,0.36,0.11,0.00,24.84,1.08,-1.00,-1.00,63.92,0.26,0.35,0.14,37.56,0.75,-1.00,-1.00,0.08,0.00,0.39,0.22,0.32,-0.08,9.90,-0.90,35.85,0.80,1.26,-1.00,-1.00,2.04,80.11,81.77,0.57,56.32,1488,,,,,
5851,Striking Vikings,3,4.09,-0.23,0.88,0.80,0.35,0.00,21.29,0.35,-1.00,-1.00,7.10,26.18,-8.73,-1.40,-1.37,0.33,0.30,0.32,0.00,23.89,1.53,-1.00,-1.00,44.02,0.22,0.08,0.13,21.50,0.55,-1.00,-1.00,0.00,0.00,0.01,0.18,-0.28,0.02,-6.86,1.28,45.18,0.95,1.89,-1.00,-1.00,-0.57,71.48,71.48,0.44,39.97,1514,,,,,
6060,Circuit Serpents,2,4.59,0.19,0.55,0.56,0.17,0.00,10.13,0.17,-1.00,-1.00,3.38,14.37,1.14,2.95,0.97,0.35,0.35,0.16,0.01,29.59,1.19,-1.00,-1.00,53.27,0.21,0.21,0.21,26.26,-1.00,-1.00,-1.00,0.01,0.01,-0.02,0.19,-0.03,0.22,-0.49,5.94,35.12,0.82,1.29,-1.00,-1.00,1.34,66.83,67.11,0.26,16.21,1457,,,,,
6405,EntreBots,1,3.68,0.02,0.06,0.06,0.04,0.00,2.68,0.04,-1.00,-1.00,0.89,6.43,0.08,0.15,0.05,0.33,0.24,0.04,-0.00,22.44,0.58,-1.00,-1.00,33.03,0.10,0.04,0.07,10.54,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.15,0.06,4.17,1.88,25.12,0.61,0.62,-1.00,-1.00,0.11,41.34,41.00,0.10,-14.15,1350,,,,,
6436,PARS ROBOTİC TEAM,1,3.68,0.02,0.06,0.06,0.04,0.00,2.68,0.04,-1.00,-1.00,0.89,6.43,0.08,0.15,0.05,0.33,0.24,0.04,-0.00,22.44,0.58,-1.00,-1.00,33.03,0.10,0.04,0.07,10.54,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.15,0.06,4.17,1.88,25.12,0.61,0.62,-1.00,-1.00,0.11,41.34,41.00,0.10,-14.15,1350,,,,,
6519,The Vegas Vortechs,1,3.68,0.02,0.06,0.06,0.04,0.00,2.68,0.04,-1.00,-1.00,0.89,6.43,0.08,0.15,0.05,0.33,0.24,0.04,-0.00,22.44,0.58,-1.00,-1.00,33.03,0.10,0.04,0.07,10.54,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.15,0.06,4.17,1.88,25.12,0.61,0.62,-1.00,-1.00,0.11,41.34,41.00,0.10,-14.15,1350,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
